,step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1030512,69,CASH_OUT,353313.55,353313.55,0.0,2808260.05,3161573.6,1,0
6296621,674,CASH_OUT,3288377.47,3288377.47,0.0,158090.12,3446467.59,1,0
3467002,258,CASH_OUT,248043.99,248043.99,0.0,0.0,248043.99,1,0
6074074,516,CASH_OUT,10000000.0,10000000.0,0.0,6070888.2,16070888.2,1,0
1030353,58,TRANSFER,378688.65,378688.65,0.0,0.0,0.0,1,0
1931861,170,TRANSFER,176700.12,176700.12,0.0,0.0,0.0,1,0
6351212,701,CASH_OUT,79581.24,79581.24,0.0,143993.58,223574.82,1,0
1932176,171,CASH_OUT,1786247.31,1786247.31,0.0,244952.19,2031199.5,1,0
1343288,137,CASH_OUT,1010857.38,1010857.38,0.0,0.0,1010857.38,1,0
1030461,66,TRANSFER,2096634.43,2096634.43,0.0,0.0,0.0,1,0
6042066,490,TRANSFER,1048388.34,1048388.34,0.0,0.0,0.0,1,0
1059550,104,TRANSFER,142336.65,142336.65,0.0,0.0,0.0,1,0
5699573,398,CASH_OUT,50722.16,50722.16,0.0,21829.49,72551.64,1,0
6121962,539,CASH_OUT,79594.91,79594.91,0.0,2009434.94,2089029.85,1,0
2102252,182,CASH_OUT,767755.17,767755.17,0.0,0.0,767755.17,1,0
6273179,634,CASH_OUT,458603.07,458603.07,0.0,118881.11,577484.18,1,0
1059637,110,CASH_OUT,2145934.81,2145934.81,0.0,757371.57,2903306.38,1,0
576343,30,CASH_OUT,122235.11,122235.11,0.0,0.0,122235.11,1,0
6020255,461,CASH_OUT,1464614.79,1464614.79,0.0,0.0,1464614.79,1,0
4388743,317,CASH_OUT,241337.83,241337.83,0.0,1170157.34,1411495.17,1,0
6019725,457,CASH_OUT,879136.17,879136.17,0.0,13264342.28,14143478.46,1,0
182862,13,CASH_OUT,408.0,408.0,0.0,898297.85,1075854.14,1,0
2599897,208,TRANSFER,1128579.71,1128579.71,0.0,0.0,0.0,1,0
1115,1,TRANSFER,35063.63,35063.63,0.0,0.0,0.0,1,0
2943793,230,TRANSFER,114169.66,114169.66,0.0,0.0,0.0,1,0
3670119,276,TRANSFER,2246118.53,2246118.53,0.0,0.0,0.0,1,0
1070161,127,CASH_OUT,6339.42,6339.42,0.0,342469.02,348808.44,1,0
1059599,107,CASH_OUT,1299860.86,1299860.86,0.0,0.0,1299860.86,1,0
5725126,398,TRANSFER,3580542.06,3580542.06,0.0,0.0,0.0,1,0
1030775,92,TRANSFER,21574.55,21574.55,0.0,0.0,0.0,1,0
5183266,360,TRANSFER,882011.04,882011.04,0.0,0.0,0.0,1,0
5988247,414,TRANSFER,724264.21,724264.21,0.0,0.0,0.0,1,0
181900,12,TRANSFER,8677.0,8677.0,0.0,0.0,0.0,1,0
6055686,498,CASH_OUT,10000000.0,10000000.0,0.0,302854.73,10302854.73,1,0
687403,36,TRANSFER,32382.96,32382.96,0.0,0.0,0.0,1,0
6362372,723,TRANSFER,72955.08,72955.08,0.0,0.0,0.0,1,0
6181536,566,CASH_OUT,92641.52,92641.52,0.0,899062.84,991704.37,1,0
6039580,483,CASH_OUT,3488355.65,3488355.65,0.0,177670.78,3666026.43,1,0
6273190,635,TRANSFER,13128.49,13128.49,0.0,0.0,0.0,1,0
3371352,254,TRANSFER,10789.0,10789.0,0.0,0.0,0.0,1,0
1030589,74,TRANSFER,455074.13,455074.13,0.0,0.0,0.0,1,0
6002930,428,TRANSFER,3028421.03,3028421.03,0.0,0.0,0.0,1,0
998512,45,TRANSFER,357836.57,357836.57,0.0,0.0,0.0,1,0
6186781,568,TRANSFER,66188.66,66188.66,0.0,0.0,0.0,1,0
6010848,443,CASH_OUT,1591263.43,1591263.43,0.0,1147865.98,2739129.41,1,0
6259913,602,CASH_OUT,1976666.45,1976666.45,0.0,0.0,1976666.45,1,0
5990447,417,TRANSFER,1049586.54,1049586.54,0.0,0.0,0.0,1,0
5287516,373,CASH_OUT,141410.98,141410.98,0.0,594609.75,736020.74,1,0
4945979,351,CASH_OUT,118111.77,118111.77,0.0,0.0,118111.77,1,0
6168693,558,TRANSFER,889.76,889.76,0.0,0.0,0.0,1,0
6114937,527,CASH_OUT,79323.25,79323.25,0.0,194983.92,274307.16,1,0
1030610,77,CASH_OUT,239473.85,239473.85,0.0,729245.09,968718.94,1,0
2526208,205,TRANSFER,188473.09,188473.09,0.0,0.0,0.0,1,0
6166759,551,CASH_OUT,3227.06,3227.06,0.0,110314.88,113541.94,1,0
6296766,680,TRANSFER,1685692.11,1685692.11,0.0,0.0,0.0,1,0
6281492,647,TRANSFER,2253811.33,2253811.33,0.0,0.0,0.0,1,0
6064513,505,CASH_OUT,745156.83,745156.83,0.0,6325085.98,7070242.82,1,0
4784795,337,TRANSFER,505580.22,505580.22,0.0,0.0,0.0,1,0
6009606,440,CASH_OUT,5049594.33,5049594.33,0.0,365902.48,5415496.81,1,0
6362390,725,TRANSFER,873322.61,873322.61,0.0,0.0,0.0,1,0
4622134,329,TRANSFER,338062.05,338062.05,0.0,0.0,0.0,1,0
6362362,723,TRANSFER,1232697.94,1232697.94,0.0,0.0,0.0,1,0
5511891,380,TRANSFER,330218.85,330218.85,0.0,0.0,0.0,1,0
6329015,690,CASH_OUT,166891.51,166891.51,0.0,0.0,166891.51,1,0
3896067,284,CASH_OUT,739584.33,739584.33,0.0,76425.35,903164.02,1,0
6259974,607,TRANSFER,56888.23,56888.23,0.0,0.0,0.0,1,0
1030722,86,CASH_OUT,372344.58,372344.58,0.0,0.0,372344.58,1,0
6259921,603,CASH_OUT,1263340.66,1263340.66,0.0,4780628.29,6043968.95,1,0
1030484,67,CASH_OUT,106460.7,106460.7,0.0,1414263.15,1520723.84,1,0
3821478,282,TRANSFER,371669.59,371669.59,0.0,0.0,0.0,1,0
6281830,655,CASH_OUT,253648.68,253648.68,0.0,0.0,253648.68,1,0
6272994,630,CASH_OUT,728256.03,728256.03,0.0,739449.0,1467705.03,1,0
1030668,83,CASH_OUT,594577.22,594577.22,0.0,685106.85,1279684.07,1,0
4785627,339,CASH_OUT,164382.72,164382.72,0.0,445530.63,609913.36,1,0
1059516,101,TRANSFER,2388251.16,2388251.16,0.0,0.0,0.0,1,0
5996376,424,CASH_OUT,5475018.52,5475018.52,0.0,205724.59,5680743.11,1,0
3574583,261,CASH_OUT,196561.69,196561.69,0.0,4186.45,200748.14,1,0
1511379,151,CASH_OUT,338229.88,338229.88,0.0,153679.25,491909.13,1,0
1930852,169,TRANSFER,286306.33,286306.33,0.0,0.0,0.0,1,0
3933727,285,CASH_OUT,106654.67,106654.67,0.0,46760.32,153414.99,1,0
6008516,436,CASH_OUT,2388542.02,2388542.02,0.0,14775.9,2403317.91,1,0
3273908,251,CASH_OUT,2693520.61,2693520.61,0.0,2505748.79,5199269.41,1,0
5990456,418,CASH_OUT,892376.71,892376.71,0.0,31730514.36,32622891.07,1,0
2852555,227,CASH_OUT,4075956.58,4075956.58,0.0,79992.36,4155948.94,1,0
102180,10,TRANSFER,2662734.59,2662734.59,0.0,0.0,0.0,1,0
6019721,457,CASH_OUT,145482.09,145482.09,0.0,1686412.37,1831894.45,1,0
6166724,551,CASH_OUT,483713.23,483713.23,0.0,11048671.02,11532384.25,1,0
6351079,698,CASH_OUT,10000000.0,10000000.0,0.0,697508.01,10697508.01,1,0
6018618,452,CASH_OUT,227349.18,227349.18,0.0,111961.16,339310.34,1,0
1931764,170,CASH_OUT,7246962.16,7246962.16,0.0,1394594.82,8641556.98,1,0
1030679,84,TRANSFER,2627070.5,2627070.5,0.0,0.0,0.0,1,0
5217379,370,TRANSFER,811459.21,811459.21,0.0,0.0,0.0,1,0
6281814,653,CASH_OUT,940957.88,940957.88,0.0,434097.75,1375055.63,1,0
6353885,707,CASH_OUT,226402.77,226402.77,0.0,11791909.2,12018311.97,1,0
2708828,211,CASH_OUT,1330802.24,1330802.24,0.0,151341.34,1515187.24,1,0
6272935,625,CASH_OUT,2480321.85,2480321.85,0.0,42477.24,2522799.09,1,0
1855926,164,CASH_OUT,1191399.72,1191399.72,0.0,2447080.16,3638479.89,1,0
2382141,196,CASH_OUT,288148.22,288148.22,0.0,257719.2,545867.42,1,0
2382180,200,TRANSFER,5393290.34,5393290.34,0.0,0.0,0.0,1,0
6168709,560,TRANSFER,357882.83,357882.83,0.0,0.0,0.0,1,0
2108651,183,TRANSFER,1503297.45,1503297.45,0.0,0.0,0.0,1,0
1059972,119,TRANSFER,2040209.74,2040209.74,0.0,0.0,0.0,1,0
6008483,436,CASH_OUT,591766.42,591766.42,0.0,7334547.33,7926313.75,1,0
1030752,90,CASH_OUT,134515.36,134515.36,0.0,29488.06,164003.41,1,0
